provider	id	species_key	cds_url	gff_url	gbff_url	genome_url	cds_archive_member	gff_archive_member	gbff_archive_member	genome_archive_member	cds_filename	gff_filename	gbff_filename	genome_filename	cds_url_template	gff_url_template	genome_url_template	local_cds_path	local_gff_path	local_gbff_path	local_genome_path
direct	https://db.cngb.org/search/project/CNP0002103/	Paris_polyphylla_var._yunnanensis		https://ftp.cngb.org/pub/CNSA/data7/CNP0002103/CNS0407077/CNA0509263/Pp_chr_genes.gff		https://ftp.cngb.org/pub/CNSA/data7/CNP0002103/CNS0407077/CNA0509263/Pp_chr_genome.fasta.gz						Pp_chr_genes.gff		Pp_chr_genome.fasta.gz							
direct	https://figshare.com/articles/dataset/Genome_assembly_and_annotation_files_of_Pedicularis_kansuensis/21393780	Pedicularis_kansuensis	https://ndownloader.figshare.com/files/37982040	https://ndownloader.figshare.com/files/37982043		https://ndownloader.figshare.com/files/37982037					Pedicularis_kansuensis.cds	Pedicularis_kansuensis.final.chr.gff		Pedicularis_kansuensis.genome.fa							
direct	Phaseolus_acutifolius_CNGB_SciRAID	Phaseolus_acutifolius	https://ftp.cngb.org/pub/SciRAID/genomics/plants/angiosperm/phaseolus_acutifolius/02.annotation/Pacutifolius_580_v1.0.cds.fa.gz	https://ftp.cngb.org/pub/SciRAID/genomics/plants/angiosperm/phaseolus_acutifolius/02.annotation/Pacutifolius_580_v1.0.gene.gff3.gz		https://ftp.cngb.org/pub/SciRAID/genomics/plants/angiosperm/phaseolus_acutifolius/01.assembly/Pacutifolius_580_v1.0.fa.gz															
direct	https://treegenesdb.org/organism/Picea-abies	Picea_abies	https://treegenesdb.org/FTP/Genomes/Paab/v1.0b/annotation/Paab.1_0b.cds.fa.gz	https://treegenesdb.org/FTP/Genomes/Paab/v1.0b/annotation/Paab.1_0b.gff.gz		https://treegenesdb.org/FTP/Genomes/Paab/v1.0b/genome/Paab.1_0b.fa.gz					Paab.1_0b.cds.fa.gz	Paab.1_0b.gff.gz		Paab.1_0b.fa.gz							
direct	https://treegenesdb.org/organism/Picea-glauca	Picea_glauca	https://treegenesdb.org/FTP/Genomes/Pagl/v1.0/annotation/Pagl.1_0.cds.fa.gz	https://treegenesdb.org/FTP/Genomes/Pagl/v1.0/annotation/Pagl.1_0.gff.gz		https://treegenesdb.org/FTP/Genomes/Pagl/v1.0/genome/Pagl.1_0.fa.gz					Pagl.1_0.cds.fa.gz	Pagl.1_0.gff.gz		Pagl.1_0.fa.gz							
direct	Pinguicula_agnata_CoGe_gid67438	Pinguicula_agnata		https://genomevolution.org/coge/api/v1/downloads/?gid=67438&filename=Pinguicula_agnata_annos0-cds0-id_typename-nu0-upa0-add_chr0.gid67438.gff		https://genomevolution.org/coge/api/v1/genomes/67438/sequence						Pinguicula_agnata_annos0-cds0-id_typename-nu0-upa0-add_chr0.gid67438.gff		Pinguicula_agnata.coge.gid67438.genome.fa							
direct	https://treegenesdb.org/organism/Pinus-lambertiana	Pinus_lambertiana	https://treegenesdb.org/FTP/Genomes/Pila/v1.5/annotation/Pila.1_5.cds.fa.gz	https://treegenesdb.org/FTP/Genomes/Pila/v1.5/annotation/Pila.1_5.gtf.gz		https://treegenesdb.org/FTP/Genomes/Pila/v1.5/genome/Pila.1_5.fa.gz					Pila.1_5.cds.fa.gz	Pila.1_5.gtf.gz		Pila.1_5.fa.gz							
direct	Piper_nigrum_BlackPepKB_direct	Piper_nigrum		https://piper-nigrum-genomics.s3.eu-north-1.amazonaws.com/Piper_nigrum_edited.sorted.gff.gz		https://piper-nigrum-genomics.s3.eu-north-1.amazonaws.com/Piper_nigrum.genome.fa.gz						Piper_nigrum_edited.sorted.gff.gz		Piper_nigrum.genome.fa.gz							
direct	https://plantgarden.jp/en/list/t28511.G002/	Pogostemon_cablin	https://plantgarden.jp/en/download/Pogostemon_cablin/t28511.G002/GWHBAZF00000000.CDS.fasta.gz	https://plantgarden.jp/en/download/Pogostemon_cablin/t28511.G002/GWHBAZF00000000.gff.gz		https://plantgarden.jp/en/download/Pogostemon_cablin/t28511.G002/GWHBAZF00000000.genome.fasta.gz					GWHBAZF00000000.CDS.fasta.gz	GWHBAZF00000000.gff.gz		GWHBAZF00000000.genome.fasta.gz							
direct	Populus_tremula_x_Populus_alba_AspenDB_sPta717_v1.1	Populus_tremula_x_Populus_alba		https://c26b5315-63b5-4f48-8b30-7d5e2893a3e4.filesusr.com/archives/e9bad4_f5e5e555762f492bb6d912ec697c75b6.gz?dn=sPta717_v1.1.gene.gff3.gz		https://c26b5315-63b5-4f48-8b30-7d5e2893a3e4.filesusr.com/archives/e9bad4_f6e7627df8a34035a54ad3c746471b76.gz?dn=sPta717_v1.1.fa.gz						Populus_tremula_x_Populus_alba_AspenDB_sPta717_v1.1.gene.gff3.gz		Populus_tremula_x_Populus_alba_AspenDB_sPta717_v1.1.genome.fa.gz							
